No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,POINT_X,POINT_Y,Reclass_Sl,RASTERVALU,Rainfall(mm),Normal(mm),%increase
113,Kannur,Y,N,N,DF,0,0,3929.43,0,N,N,BRS,BRS,,,75.625949,12.125879,5,29.5031852722,2450.9,2234.9,9.66%
114,Kannur,N,Y,N,DF,217,9,1953.0,0,N,N,BRS,BRS,,One family was evacuated temporarily.,75.578194,12.158077,1,0.0,2450.9,2234.9,9.66%
115,Kannur,Y,N,N,DF,0,0,6991.27,0,N,N,FDN,FDN,,,75.784794,11.836021,4,24.3371086121,2450.9,2234.9,9.66%
116,Kannur,Y,N,N,DF,0,0,1330.32,0,N,N,FDN,FDN,,,75.797646,12.01746,8,43.5291481018,2450.9,2234.9,9.66%
117,Kannur,Y,N,N,DF,0,0,6326.54,0,D,N,FDN,FDN,,,75.790758,12.008411,6,30.7554302216,2450.9,2234.9,9.66%
118,Kannur,Y,N,N,SS,0,0,542.092,0,N,N,FDN,FDN,,,75.833071,11.9574,2,12.9750471115,2450.9,2234.9,9.66%
119,Kannur,Y,N,N,DF,0,0,1101.82,0,N,N,FDN,FDN,,,75.848149,11.964155,7,39.1277580261,2450.9,2234.9,9.66%
120,Kannur,Y,N,N,SS,0,0,944.853,0,N,N,FDN,FDN,,,75.756567,11.810417,6,30.2544975281,2450.9,2234.9,9.66%
121,Kannur,Y,N,N,SS,0,0,1038.61,0,N,N,FDN,FDN,,,75.632524,12.086906,5,28.8012390137,2450.9,2234.9,9.66%
122,Kannur,Y,N,N,DF,0,0,2524.57,0,N,N,FDN,FDN,,,75.500368,12.186456,5,27.4639644623,2450.9,2234.9,9.66%
123,Kannur,Y,N,N,DF,0,0,5692.26,0,N,FMP,FMP,FMP,,,75.735502,11.785893,6,31.5982513428,2450.9,2234.9,9.66%
124,Kannur,Y,N,N,DF,0,0,2214.67,0,N,FMP,FMP,FMP,,,75.851125,11.855684,6,34.5414772034,2450.9,2234.9,9.66%
125,Kannur,Y,N,N,SS,0,0,644.042,0,N,FMP,FMP,FMP,,,75.840235,11.913304,6,32.7051429749,2450.9,2234.9,9.66%
126,Kannur,Y,N,N,SS,0,0,667.669,0,N,FMP,FMP,FMP,,,75.835616,11.914234,6,32.8460655212,2450.9,2234.9,9.66%
127,Kannur,Y,N,N,DF,0,0,3555.1,0,N,FMP,FMP,FMP,,,75.772752,12.016459,3,17.9027919769,2450.9,2234.9,9.66%
128,Kannur,Y,N,N,DF,0,0,4010.53,0,N,FMP,FMP,FMP,,,75.796438,12.006968,6,31.6618595123,2450.9,2234.9,9.66%
129,Kannur,Y,N,N,SS,0,0,2957.93,0,N,FMP,FMP,FMP,,,75.525891,12.182734,3,18.0078926086,2450.9,2234.9,9.66%
130,Kannur,N,Y,N,DF,0,0,1190.56,0,N,FMP,FMP,FMP,,Displaced rock boulder are randomly scattered along the stream course.,75.6908,12.08867,3,18.3474674225,2450.9,2234.9,9.66%
131,Kannur,N,Y,N,RF,0,0,3845.47,1,N,FMP,FMP,FMP,,,75.69022,12.09856,4,22.8862533569,2450.9,2234.9,9.66%
132,Kannur,N,Y,N,DF,0,0,8725.15,0,N,FMP,FMP,FMP,,,75.75856,12.07206,4,24.3848609924,2450.9,2234.9,9.66%
133,Kannur,Y,Y,N,DF,0,0,8725.15,0,N,FMP,FMP,FMP,,,75.75761,12.07092,4,20.2722110748,2450.9,2234.9,9.66%
134,Kannur,N,Y,N,SS,0,0,3555.1,1,N,FMP,FMP,FMP,,,75.71351,12.02903,2,11.596121788,2450.9,2234.9,9.66%
135,Kannur,Y,Y,N,DF,0,0,2945.09,0,N,FMP,FMP,FMP,,,75.77653,12.02021,4,20.6692638397,2450.9,2234.9,9.66%
136,Kannur,N,Y,N,SS,0,0,3555.1,1,N,FMP,FMP,FMP,1,Unplanned slope modification.,75.75671,12.00518,3,19.1727409363,2450.9,2234.9,9.66%
137,Kannur,Y,Y,N,DF,0,0,4806.57,1,D,FMP,FMP,FMP,,Road has been partly damaged by the flood water.,75.778428,12.014423,6,30.4666919708,2450.9,2234.9,9.66%
138,Kannur,N,Y,N,DF,0,0,4812.82,1,N,FMP,FMP,FMP,,,75.86396,11.86084,2,13.3275165558,2450.9,2234.9,9.66%
139,Kannur,Y,Y,N,SS,0,0,4306.6,5,D,FMP,FMP,FMP,,Electric poles and local pavements/approach road were also damaged.,75.87109,11.86205,4,24.4922275543,2450.9,2234.9,9.66%
140,Kannur,N,Y,N,SS,0,0,2858.38,23,N,FMP,FMP,FMP,,Earlier the cracks appeared in 2004 and 2 houses were affected.,75.85948,11.91209,1,9.89869403839,2450.9,2234.9,9.66%
141,Kannur,Y,Y,N,DF,0,0,3845.47,2,N,FMP,FMP,FMP,,,75.640937,12.126233,5,25.8831291199,2450.9,2234.9,9.66%
142,Kannur,Y,Y,N,DF,0,0,3704.23,0,N,FMP,FMP,FMP,,Two families were temporarily evacuated.,75.571564,12.163938,7,36.7720031738,2450.9,2234.9,9.66%
143,Kannur,N,Y,N,DF,0,0,1500.2,0,N,FMP,FMP,FMP,,,75.5749,12.13916,3,16.2498550415,2450.9,2234.9,9.66%
144,Kannur,N,Y,N,DF,88,22,1936.0,1,N,FMP,FMP,FMP,,The natural drainage was obstructed for the construction of house. During rainfall the original course of stream got activated and huge volume of water with debris material followed the original drainage path.,75.6475,11.97909,4,21.4292564392,2450.9,2234.9,9.66%
145,Kannur,N,Y,N,DF,115,9,1035.0,0,N,FMP,FMP,FMP,,,75.628019,12.129245,6,33.6198768616,2450.9,2234.9,9.66%
146,Kannur,N,Y,N,DF,189,6,1134.0,0,N,FMP,FMP,FMP,,Culvert of proper dimensions may be provided.,75.780928,12.047046,6,34.0077590942,2450.9,2234.9,9.66%
147,Kannur,Y,N,N,DF,0,0,2507.92,0,N,SPL,FMP,SPL,,,75.857733,11.852303,4,22.2264690399,2450.9,2234.9,9.66%
148,Kannur,Y,N,N,SS,0,0,2858.38,0,N,SPL,FMP,SPL,,,75.842196,11.91273,6,33.8328590393,2450.9,2234.9,9.66%
149,Kannur,Y,N,N,DF,0,0,4735.94,0,N,SPL,SPL,SPL,,,75.801807,12.005634,6,34.1164932251,2450.9,2234.9,9.66%
150,Kannur,N,N,Y,DF,0,0,1500.2,0,N,SPL,SPL,SPL,,,75.580118,12.156455,6,32.9972915649,2450.9,2234.9,9.66%
151,Kannur,Y,N,N,SS,0,0,3425.89,0,N,SPL,SPL,SPL,,,75.641438,12.128683,4,23.8040504456,2450.9,2234.9,9.66%
152,Kannur,Y,N,N,SS,0,0,1190.56,0,N,SPL,SPL,SPL,,,75.632936,12.085419,3,15.9504928589,2450.9,2234.9,9.66%
153,Kannur,Y,N,N,SS,0,0,663.92,0,N,SPL,SPL,SPL,,,75.610743,12.136038,6,31.3320884705,2450.9,2234.9,9.66%
154,Kannur,Y,N,N,SS,0,0,1004.41,0,N,SPL,SPL,SPL,,,75.516263,12.22944,1,8.3143081665,2450.9,2234.9,9.66%
155,Kannur,Y,N,N,SS,0,0,878.137,0,N,SPL,SPL,SPL,,,75.595867,12.134203,4,21.926109314,2450.9,2234.9,9.66%
156,Kannur,N,Y,N,DF,0,0,1190.56,0,N,SPL,SPL,SPL,,"At this location, the materials flown along two different streams coalesced at loc 12e 05'27.52"" N, 75 o41'39.44"" E. The co-ordinate of two stream are 1).12 d05'30.15""N, 75 f41'38.00""E  ;(2). 12 d05in29.09""N, 75 241'39.56"" E",75.69389,12.09171,4,23.1135635376,2450.9,2234.9,9.66%
157,Kannur,Y,Y,N,DF,0,0,2437.25,1,N,SPL,FMP,SPL,,,75.856777,11.852385,5,26.2587013245,2450.9,2234.9,9.66%
158,Kannur,N,Y,N,DF,0,0,663.92,0,N,SPL,SPL,SPL,,"At this place, material flown down from different directions following three streams got accumulated as it is a break in slope. Larger boulders that rolled down to river was carried further downstream. There are 20 nos. of family and 20 houses were affec",75.60595,12.14786,3,15.0222358704,2450.9,2234.9,9.66%
159,Kannur,Y,N,N,RF,0,0,1603.98,0,N,N,BRF,BRF,,,75.786513,12.053308,6,34.8234367371,2450.9,2234.9,9.66%
160,Kannur,Y,N,N,DF,0,0,857.557,0,N,N,FDN,FDN,,,75.935527,11.908762,2,14.027554512,2450.9,2234.9,9.66%
161,Kannur,Y,N,N,DF,0,0,500.096,0,N,N,FDN,FDN,,,75.913826,11.917996,7,37.9472160339,2450.9,2234.9,9.66%
