District,Type_of_sl,LU_2010,LU_2018,POINT_X,POINT_Y,Rainfall(mm),Normal(mm)
3,3,15,15,75.218883,12.30699,2549.94,2489.1
3,3,15,15,75.085565,12.46259,2549.94,2489.1
3,3,15,15,75.144041,12.524752,2549.94,2489.1
3,3,15,15,75.123429,12.569195,2549.94,2489.1
3,3,24,24,75.415447,12.334756,2549.94,2489.1
3,3,15,24,75.350084,12.351045,2549.94,2489.1
3,1,24,24,75.408793,12.374059,2549.94,2489.1
3,3,24,24,75.160207,12.615809,2549.94,2489.1
3,3,10,10,75.36508,12.305871,2549.94,2489.1
3,3,14,14,75.4085,12.363623,2549.94,2489.1
3,1,15,15,75.135226,12.641064,2549.94,2489.1
3,1,15,15,75.387776,12.347477,2549.94,2489.1
4,1,14,14,77.175637,9.051235,1427.3,985.4
4,1,14,14,77.180977,9.052898,1427.3,985.4
4,1,14,14,77.186913,8.821263,1427.3,985.4
4,1,14,14,77.1879,8.821092,1427.3,985.4
4,1,14,14,77.188975,8.826468,1427.3,985.4
4,1,14,14,77.201719,8.823632,1427.3,985.4
4,3,14,24,77.127664,9.083318,1427.3,985.4
4,1,24,24,77.206461,8.826942,1427.3,985.4
4,1,24,24,77.208816,8.825597,1427.3,985.4
4,1,24,24,77.208037,8.826127,1427.3,985.4
5,3,1,1,76.862236,9.713699,2137.6,1452.6
5,1,2,2,76.875778,9.705116,2137.6,1452.6
5,1,3,3,76.887715,9.639258,2137.6,1452.6
5,1,3,3,76.886388,9.714584,2137.6,1452.6
5,1,4,4,76.841845,9.728564,2137.6,1452.6
5,1,4,4,76.872716,9.721377,2137.6,1452.6
5,1,4,4,76.866816,9.715301,2137.6,1452.6
5,1,4,4,76.860494,9.685221,2137.6,1452.6
5,1,4,4,76.89205,9.653305,2137.6,1452.6
5,1,10,10,76.87361,9.61754,2137.6,1452.6
5,1,10,10,76.89306,9.64287,2137.6,1452.6
5,1,10,10,76.896471,9.644348,2137.6,1452.6
5,1,10,10,76.89672,9.65936,2137.6,1452.6
5,1,10,10,76.86585,9.70027,2137.6,1452.6
5,1,10,10,76.726146,9.80825,2137.6,1452.6
5,1,10,10,76.868652,9.72785,2137.6,1452.6
5,3,10,10,76.864484,9.715027,2137.6,1452.6
5,1,10,10,76.909188,9.66199,2137.6,1452.6
5,1,14,14,76.84107,9.74144,2137.6,1452.6
5,1,14,14,76.848477,9.736832,2137.6,1452.6
5,1,14,14,76.847766,9.732546,2137.6,1452.6
5,1,14,14,76.865323,9.730629,2137.6,1452.6
5,1,14,14,76.854762,9.729935,2137.6,1452.6
5,1,14,14,76.909852,9.65552,2137.6,1452.6
5,1,14,14,76.865669,9.732411,2137.6,1452.6
5,3,15,15,76.901266,9.658476,2137.6,1452.6
